"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0F9N0","2020-02-08 00:00:00","75.000","58.000","0.500","16.700","0.830","1012.800","","0.000","-99.000","-99.000","-99.000","23.900","","16.500",""
"C0G740","2020-02-08 00:00:00","24.000","17.000","4.000","16.200","0.790","1019.400","","0.000","9.700","347.000","","20.300","","15.000",""
"C0UA70","2020-02-08 00:00:00","547.000","349.000","2.700","11.100","0.990","961.900","","5.500","-99.000","-99.000","-99.000","14.700","","11.100",""
"C0AC60","2020-02-08 00:00:00","55.000","62.000","0.300","14.800","0.990","1018.700","","6.500","-99.000","-99.000","-99.000","17.600","","14.100",""
"C0R510","2020-02-08 00:00:00","31.000","331.000","1.700","17.300","0.840","1017.700","","0.000","-99.000","-99.000","-99.000","27.100","","17.000",""
"C0X060","2020-02-08 00:00:00","19.000","9.000","3.500","15.100","0.860","1021.200","","0.000","-99.000","-99.000","-99.000","24.600","","15.100",""
"C0E550","2020-02-08 00:00:00","84.000","47.000","2.900","15.000","0.890","1014.100","","6.500","-99.000","-99.000","-99.000","16.900","","13.200",""
"C0AI20","2020-02-08 00:00:00","25.000","34.000","9.000","-99.000","1.000","1022.300","","0.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"C0E740","2020-02-08 00:00:00","27.000","49.000","2.100","15.600","0.880","1015.000","","2.500","-99.000","-99.000","-99.000","17.600","","13.900",""
"C0R650","2020-02-08 00:00:00","29.000","313.000","1.100","17.600","0.990","1018.600","","0.000","-99.000","-99.000","-99.000","26.800","","16.000",""
"C0S750","2020-02-08 00:00:00","2280.000","0.000","0.100","6.300","1.000","777.800","","0.000","-99.000","-99.000","-99.000","16.800","","5.000",""
"C0I370","2020-02-08 00:00:00","671.000","0.000","0.000","13.700","0.920","945.200","","0.000","-99.000","-99.000","-99.000","23.400","","13.700",""
"C0K400","2020-02-08 00:00:00","65.000","359.000","1.700","15.200","0.980","1014.900","","0.000","-99.000","-99.000","-99.000","23.400","","15.000",""
"C0A650","2020-02-08 00:00:00","287.000","0.000","0.000","12.600","0.990","991.700","","6.000","-99.000","-99.000","-99.000","15.500","","12.500",""
"C0U750","2020-02-08 00:00:00","398.000","8.000","6.800","12.300","0.960","977.300","","0.500","-99.000","-99.000","-99.000","16.900","","12.100",""
"C0M730","2020-02-08 00:00:00","40.000","345.000","1.200","16.100","0.810","1016.500","","0.000","-99.000","-99.000","-99.000","25.900","","15.800",""
"C0Z061","2020-02-08 00:00:00","174.000","339.000","0.800","17.200","0.990","1006.200","","0.500","-99.000","-99.000","-99.000","27.000","","14.000",""
"C0M670","2020-02-08 00:00:00","43.000","358.000","2.100","15.500","0.830","1016.300","","0.000","-99.000","-99.000","-99.000","23.100","","15.300",""
"C0I530","2020-02-08 00:00:00","3014.000","-99.000","-99.000","0.800","1.000","703.200","","0.000","-99.000","-99.000","-99.000","3.100","","0.400",""
"C0A880","2020-02-08 00:00:00","6.000","12.000","2.600","16.300","0.810","1022.900","","1.500","-99.000","-99.000","-99.000","17.700","","15.200",""
"C0S950","2020-02-08 00:00:00","415.000","286.000","1.000","16.600","0.960","974.500","","0.500","-99.000","-99.000","-99.000","22.400","","15.600",""
"C0X190","2020-02-08 00:00:00","10.000","19.000","4.400","15.900","0.830","1020.300","","0.000","-99.000","-99.000","-99.000","23.500","","15.900",""
"C0Z080","2020-02-08 00:00:00","298.000","2.000","1.800","15.700","0.990","988.600","","6.500","-99.000","-99.000","-99.000","27.100","","14.100",""
